stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopPoint:PPSI1,"Petit Plessis",,47.30191987,-1.38608390,,,0,StopArea:PPSI
StopPoint:PPSI2,"Petit Plessis",,47.30183602,-1.38617073,,,0,StopArea:PPSI
StopPoint:PPTR1,"Papotière",,47.24010452,-1.49688163,,,0,StopArea:PPTR
StopPoint:PPTR2,"Papotière",,47.23990772,-1.49738327,,,0,StopArea:PPTR
StopPoint:PRCE1,"Procé",,47.22251630,-1.58175188,,,0,StopArea:PRCE
StopPoint:PRCE2,"Procé",,47.22257155,-1.58171626,,,0,StopArea:PRCE
StopPoint:PRDI1,"Praudière",,47.25684331,-1.58380492,,,0,StopArea:PRDI
StopPoint:PRDI2,"Praudière",,47.25735766,-1.58377650,,,0,StopArea:PRDI
StopPoint:PREU1,"Preux",,47.22123583,-1.61818648,,,0,StopArea:PREU
StopPoint:PREU2,"Preux",,47.22114101,-1.61832490,,,0,StopArea:PREU
StopPoint:PRFO1,"Profondine",,47.19614423,-1.48876471,,,0,StopArea:PRFO
StopPoint:PRFO2,"Profondine",,47.19616965,-1.48854189,,,0,StopArea:PRFO
StopPoint:PRGE1,"Portail Rouge",,47.24420817,-1.50455560,,,0,StopArea:PRGE
StopPoint:PRGE2,"Portail Rouge",,47.24391690,-1.50491821,,,0,StopArea:PRGE
StopPoint:PRHE1,"Petit Rocher",,47.24051299,-1.47913734,,,0,StopArea:PRHE
StopPoint:PRHE2,"Petit Rocher",,47.24057039,-1.47903564,,,0,StopArea:PRHE
StopPoint:PRMI1,"Pyramide",,47.20802818,-1.49269369,,,0,StopArea:PRMI
StopPoint:PRMI2,"Pyramide",,47.20805338,-1.49274836,,,0,StopArea:PRMI
StopPoint:PRNE1,"Perrines",,47.22754032,-1.51553553,,,0,StopArea:PRNE
StopPoint:PRNE2,"Perrines",,47.22761440,-1.51547475,,,0,StopArea:PRNE
StopPoint:PRO58,"Pont-Rousseau-Martyrs",,47.19236622,-1.54756889,,,0,StopArea:PROU
StopPoint:PRO59,"Pont-Rousseau-Martyrs",,47.19192197,-1.54765557,,,0,StopArea:PROU
StopPoint:PROU1,"Pont-Rousseau-Martyrs",,47.19185309,-1.54825572,,,0,StopArea:PROU
StopPoint:PROU2,"Pont-Rousseau-Martyrs",,47.19187650,-1.54828253,,,0,StopArea:PROU
StopPoint:PROU3,"Pont-Rousseau-Martyrs",,47.19194759,-1.54769707,,,0,StopArea:PROU
StopPoint:PROU5,"Pont-Rousseau-Martyrs",,47.19243044,-1.54753391,,,0,StopArea:PROU
StopPoint:PRRI1,"Perrières",,47.30942560,-1.55207012,,,0,StopArea:PRRI
StopPoint:PRRI2,"Perrières",,47.30845527,-1.55333688,,,0,StopArea:PRRI
StopPoint:PRSS1,"Pressoir",,47.12360484,-1.63890612,,,0,StopArea:PRSS
StopPoint:PRSS2,"Pressoir",,47.12353979,-1.63870334,,,0,StopArea:PRSS
StopPoint:PRTE1,"Portereau",,47.16828172,-1.50165819,,,0,StopArea:PRTE
StopPoint:PRTE2,"Portereau",,47.16811259,-1.50078764,,,0,StopArea:PRTE
StopPoint:PRTE3,"Portereau",,47.16733370,-1.50145818,,,0,StopArea:PRTE
StopPoint:PRZE1,"Porte de Rezé",,47.15715780,-1.54092226,,,0,StopArea:PRZE
StopPoint:PRZE2,"Porte de Rezé",,47.15725209,-1.54079704,,,0,StopArea:PRZE
StopPoint:PSAU1,"Porte de Sautron",,47.25119910,-1.61984733,,,0,StopArea:PSAU
StopPoint:PSAU2,"Porte de Sautron",,47.25074926,-1.61878226,,,0,StopArea:PSAU
StopPoint:PSCE1,"Plaisance",,47.24019748,-1.59125496,,,0,StopArea:PSCE
StopPoint:PSCE2,"Plaisance",,47.24016662,-1.59128841,,,0,StopArea:PSCE
StopPoint:PSEV1,"Parc de la Sèvre",,47.16440674,-1.47923463,,,0,StopArea:PSEV
StopPoint:PSEV2,"Parc de la Sèvre",,47.16476366,-1.48042215,,,0,StopArea:PSEV
StopPoint:PSIN1,"Pasteur",,47.20098821,-1.67859371,,,0,StopArea:PSIN
StopPoint:PSIN2,"Pasteur",,47.20097902,-1.67885735,,,0,StopArea:PSIN
StopPoint:PSME1,"Place St Méen",,47.31921755,-1.34738899,,,0,StopArea:PSME
StopPoint:PSME2,"Place St Méen",,47.31908403,-1.34734005,,,0,StopArea:PSME
StopPoint:PSOR1,"Prières",,47.15010630,-1.52616637,,,0,StopArea:PSOR
StopPoint:PSOR2,"Prières",,47.15037732,-1.52641036,,,0,StopArea:PSOR
StopPoint:PSPO1,"Parc des Sports",,47.26050684,-1.44906592,,,0,StopArea:PSPO
StopPoint:PSPO2,"Parc des Sports",,47.25990092,-1.45024007,,,0,StopArea:PSPO
StopPoint:PSPO3,"Parc des sports",,47.26092727,-1.45052444,,,0,StopArea:PSPO
StopPoint:PSUD1,"Pôle sud",,47.18885327,-1.46987960,,,0,StopArea:PSUD
StopPoint:PSUD2,"Pôle sud",,47.18866942,-1.46890209,,,0,StopArea:PSUD
StopPoint:PTBO1,"Petit Bois",,47.18570927,-1.67736836,,,0,StopArea:PTBO
StopPoint:PTBO2,"Petit Bois",,47.18541960,-1.67844326,,,0,StopArea:PTBO
StopPoint:PTCH1,"Patache",,47.27099027,-1.61923490,,,0,StopArea:PTCH
StopPoint:PTCH2,"Patache",,47.27124757,-1.61961124,,,0,StopArea:PTCH
StopPoint:PTEC1,"Polytech'",,47.28085054,-1.51359510,,,0,StopArea:PTEC
StopPoint:PTEC2,"Polytech'",,47.28069886,-1.51382239,,,0,StopArea:PTEC
StopPoint:PTGO1,"Poitou",,47.20928466,-1.46972061,,,0,StopArea:PTGO
StopPoint:PTGO2,"Poitou",,47.20978641,-1.46925407,,,0,StopArea:PTGO
StopPoint:PTIS1,"Plessis Tison",,47.23662014,-1.53351262,,,0,StopArea:PTIS
StopPoint:PTIS2,"Plessis Tison",,47.23657079,-1.53364128,,,0,StopArea:PTIS
StopPoint:PTNE1,"Platanes",,47.24557200,-1.52466429,,,0,StopArea:PTNE
StopPoint:PTNE2,"Platanes",,47.24525783,-1.52517063,,,0,StopArea:PTNE
StopPoint:PTON1,"Portillon",,47.14967221,-1.46862691,,,0,StopArea:PTON
StopPoint:PTON2,"Portillon",,47.14928857,-1.46906172,,,0,StopArea:PTON
